Country,Biome,Site,Latitude,Longitude,Altitude,Atm_Press,Responsible,Species,Family,Genus,PFT_LPJ,PFT_Sheffield,PFT_JULES,PFT_Wright,PFT_JULES2,PFT_Exeter,H.sphere,Temp.class,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdark_a,LfT_Rdark,Am_sat,Rdark_m,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,Rdarka_TWQ.T_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,Rdarka_MeasMonth.T_varQ10,Rdarkm_MeasMonth.T_varQ10,Rdarka_TWQ.T_varQ10,Rdarkm_TWQ.T_varQ10,Leaf_Nm,Leaf_Pm,Leaf_Na,Leaf_Pa,LMA,Vcmax_a_LfT,Vcmax_a_25,Vcmax_m_25,Rdarka:Vcmax_LfT,Rdarka:Vcmax_25C_varQ10,MAT,MeanT_WarmestQtr,Annual_Precip,Precip_Warmest_Qtr,Measuring_Month_MeanT,ai_yr,pet_yr
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Calyptranthes bipennis,Myrtaceae,Calyptranthes,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,2.56,0.129,359.1,27.82,1.32,27.97,20.6,10.6,2.23,1.95,1.04,8.4,1.20,1.08,8.7,1.19,9.5,1.22,9.8,7.32,1.64,0.91,200,124.3,15.1,11.8,95.0,0.09,0.09,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Diplotropis sp,Fabaceae,Diplotropis,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,12.70,0.270,288.5,28.94,1.13,35.2,104.2,9.3,2.23,1.8,0.50,4.1,0.58,0.62,5.1,0.68,5.5,0.69,5.7,13.86,0.59,1.69,70,121.8,69.4,49.3,404.9,0.02,0.01,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Emmotum floribundum,Icacinaceae,Emmotum,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,2.01,0.068,347.1,27.87,1.98,27.96,8.9,8.8,2.23,1.95,1.56,6.9,1.80,1.62,7.2,1.78,7.9,1.83,8.1,6.31,0.13,1.42,30,225.5,16.0,12.5,55.4,0.12,0.13,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Guatteria decurrens,Annonaceae,Guatteria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,5.92,0.236,340.8,27.76,1.53,27.96,35.0,9.0,2.23,1.95,1.21,7.1,1.39,1.26,7.4,1.38,8.1,1.42,8.4,7.89,0.15,1.34,20,169.4,30.3,23.8,140.5,0.05,0.05,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Humiria balsamifera,Humiriaceae,Humiria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,3.50,0.327,372.3,27.66,1.53,28.34,28.2,12.3,2.23,1.94,1.17,9.4,1.35,1.22,9.9,1.34,10.8,1.38,11.1,8.83,0.57,1.10,70,124.3,18.9,15.0,120.5,0.08,0.08,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Hymenolobium nitidum,Fabaceae,Hymenolobium,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,South,5th~25plus,0.35,0.024,359.1,31.9,2.62,28.05,3.0,22.5,2.23,1.95,2.05,17.6,2.37,2.14,18.3,2.35,20.1,2.41,20.7,25.62,1.03,2.99,120,116.8,14.2,7.9,67.5,0.18,0.27,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Licania unguiculata,Chrysobalanaceae,Licania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,2.46,0.299,368.9,27.54,4.51,27.94,16.0,29.2,2.23,1.95,3.56,23.1,4.12,3.70,24.0,4.07,26.4,4.18,27.1,14.25,0.91,2.20,140,154.2,26.2,21.0,136.2,0.17,0.18,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Macrolobium microcalyx,Fabaceae,Macrolobium,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,3.86,0.088,348.8,27.63,1.65,27.85,36.0,15.4,2.23,1.95,1.32,12.3,1.52,1.37,12.7,1.50,14.0,1.54,14.4,16.62,1.23,1.78,130,107.4,21.8,17.4,161.7,0.08,0.08,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Micrandra elata,Euphorbiaceae,Micrandra,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,5th~25plus,4.38,0.124,334.3,27.96,0.76,27.99,54.7,9.5,2.23,1.95,0.60,7.5,0.69,0.62,7.8,0.68,8.5,0.70,8.8,16.85,0.62,1.35,50,80.2,21.5,16.6,207.0,0.04,0.04,26.3,26.8,2762,708,26.4,1.633,1691
Peru-Amazon,TrRF_lw,ALP-30,-3.9543,-73.4267,120,99.89,Ishida,Micrandra spruceana,Euphorbiaceae,Micrandra,TrpDcBl,DcBl,BlT,AnDcBlT,DcBlT,BlDcTrp,South,5th~25plus,4.14,0.050,260.1,41.16,1.19,39.41,50.7,14.6,2.23,1.71,0.37,4.6,0.43,0.55,6.8,0.59,7.3,0.61,7.5,15.63,1.09,1.27,90,81.5,63.6,16.6,203.7,0.02,0.03,26.3,26.8,2762,708,26.4,1.633,1691
