Country,Biome,Site,Latitude,Longitude,Altitude,Atm_Press,Responsible,Species,Family,Genus,PFT_LPJ,PFT_Sheffield,PFT_JULES,PFT_Wright,PFT_JULES2,PFT_Exeter,H.sphere,Temp.class,Aa_sat,gs_sat,Ci_sat,LfT_sat,Rdark_a,LfT_Rdark,Am_sat,Rdark_m,FixedQ10,varQ10,Rdarka_25C_FixedQ10,Rdarkm_25C_FixedQ10,Rdarka_TWQ.T_FixedQ10,Rdarka_25C_varQ10,Rdarkm_25C_varQ10,Rdarka_MeasMonth.T_varQ10,Rdarkm_MeasMonth.T_varQ10,Rdarka_TWQ.T_varQ10,Rdarkm_TWQ.T_varQ10,Leaf_Nm,Leaf_Pm,Leaf_Na,Leaf_Pa,LMA,Vcmax_a_LfT,Vcmax_a_25,Vcmax_m_25,Rdarka:Vcmax_LfT,Rdarka:Vcmax_25C_varQ10,MAT,MeanT_WarmestQtr,Annual_Precip,Precip_Warmest_Qtr,Measuring_Month_MeanT,ai_yr,pet_yr
Peru-Andes,TrRF_up,TRU-04,-13.1059,-71.5893,2750,73.13,Guerrieri,Miconia egensis,Melastomataceae,Miconia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,3rd~15to20,2.48,0.087,330.0,22.11,1.57,20.56,7.1,4.5,2.23,2.11,2.24,6.4,1.16,2.18,6.2,1.05,3.0,1.18,3.4,12.53,1.60,4.39,560,350.2,11.9,15.3,43.8,0.13,0.14,15.8,16.8,652,188,15.2,0.423,1541
Peru-Andes,TrRF_up,TRU-04,-13.1059,-71.5893,2750,73.13,Guerrieri,Prunus integrifolia,Rosaceae,Prunus,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,3rd~15to20,7.79,0.136,281.1,22.06,1.39,20.785,31.4,6.9,2.23,2.105,1.94,9.7,1.01,1.90,9.5,0.92,4.6,1.03,5.2,15.05,1.35,3.73,325,231.7,30.9,40.0,165.2,0.06,0.06,15.8,16.8,652,188,15.2,0.423,1541
Peru-Andes,TrRF_up,TRU-04,-13.1059,-71.5893,2750,73.13,Guerrieri,Ruagea subviridiflora,Meliaceae,Ruagea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,3rd~15to20,6.02,0.051,186.2,23.13,1.08,22.05,40.2,7.2,2.23,2.08,1.37,9.1,0.71,1.34,8.9,0.65,4.4,0.73,4.9,18.06,2.13,2.70,320,149.7,35.6,42.0,280.5,0.03,0.03,15.8,16.8,652,188,15.2,0.423,1541
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Alchornea anamariae,Euphorbiaceae,Alchornea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,3.58,0.082,312.3,24.83,1.10,24.95,29.0,8.9,2.23,2.02,1.10,9.0,0.78,1.10,9.0,0.76,6.2,0.81,6.6,18.68,1.61,2.30,200,123.2,16.7,17.0,137.7,0.07,0.07,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Alzatea verticillata subsp verticilla,Alzateaceae,Alzatea,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,9.29,0.121,244.8,24.74,1.96,24.87,150.7,31.8,2.23,2.02,1.98,32.1,1.39,1.98,32.1,1.36,22.1,1.45,23.6,NA,NA,NA,NA,61.7,49.4,50.5,819.0,0.04,0.04,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Clethra fagifolia,Clethraceae,Clethra,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,7.20,0.143,293.7,24.91,1.40,28.18,34.8,6.8,2.23,1.95,1.08,5.2,0.76,1.13,5.5,0.79,3.8,0.84,4.1,10.81,0.79,2.24,160,206.9,32.5,32.7,158.2,0.04,0.03,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Cupania rubiginosa,Sapindaceae,Cupania,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,1.16,0.039,340.4,24.76,1.17,24.87,NA,NA,2.23,2.02,1.18,NA,0.83,1.18,NA,0.81,NA,0.86,NA,16.37,1.12,NA,NA,NA,7.7,7.9,NA,0.15,0.15,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Elaeagia mariae,Rubiaceae,Elaeagia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,10.12,0.152,259.1,24.78,1.55,24.89,58.1,8.9,2.23,2.02,1.57,9.0,1.10,1.57,9.0,1.08,6.2,1.15,6.6,NA,NA,NA,NA,174.1,48.8,49.8,285.7,0.03,0.03,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Ficus americana,Moraceae,Ficus,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,10.59,0.235,292.1,24.79,2.69,25.51,48.0,12.2,2.23,2,2.58,11.7,1.82,2.60,11.8,1.80,8.2,1.91,8.7,11.28,0.98,2.49,220,220.6,50.1,51.0,231.3,0.05,0.05,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Guatteria terminalis,Annonaceae,Guatteria,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,3.83,0.078,302.8,24.85,1.18,25.3,28.8,8.9,2.23,2.01,1.15,8.7,0.81,1.15,8.7,0.80,6.0,0.85,6.4,16.91,0.91,2.25,120,133.1,18.4,18.6,139.9,0.06,0.06,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Ilex rimbachii,Aquifoliaceae,Ilex,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,6.21,0.099,275.6,24.85,0.69,24.93,63.8,7.1,2.23,2.02,0.70,7.2,0.49,0.70,7.2,0.48,4.9,0.51,5.3,NA,NA,NA,NA,97.4,27.5,27.8,285.8,0.03,0.03,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Miconia sp,Melastomataceae,Miconia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,6.32,0.110,283.5,24.84,1.57,24.97,48.3,12.0,2.23,2.02,1.57,12.0,1.10,1.57,12.0,1.08,8.3,1.15,8.8,18.01,1.15,2.36,150,130.9,30.6,31.0,236.9,0.05,0.05,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Myrcia fallax,Myrtaceae,Myrcia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,3.86,0.095,314.6,24.93,1.46,25.02,21.5,8.1,2.23,2.01,1.45,8.1,1.02,1.45,8.1,1.00,5.6,1.07,5.9,11.85,0.71,2.13,130,179.8,19.0,19.1,106.3,0.08,0.08,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Myrcia mollis,Myrtaceae,Myrcia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,10.28,0.259,304.6,25.01,2.17,26.26,54.5,11.5,2.23,1.99,1.96,10.4,1.38,1.99,10.5,1.38,7.3,1.47,7.8,12.28,0.75,2.32,140,188.7,45.8,45.8,242.6,0.05,0.04,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Nectandra cuspidata,Lauraceae,Nectandra,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,10.70,0.281,307.0,24.84,1.79,24.89,72.8,12.1,2.23,2.02,1.80,12.3,1.27,1.80,12.2,1.24,8.4,1.32,9.0,19.54,1.17,2.87,170,147.0,45.3,45.9,312.3,0.04,0.04,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Nectandra laurel,Lauraceae,Nectandra,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,9.58,0.177,280.5,24.78,1.11,24.89,56.9,6.6,2.23,2.02,1.12,6.6,0.79,1.12,6.6,0.77,4.6,0.82,4.9,NA,NA,NA,NA,168.3,41.7,42.5,252.6,0.03,0.03,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Panopsis rubescens,Proteaceae,Panopsis,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,7.62,0.168,299.8,24.83,1.26,24.96,43.3,7.2,2.23,2.02,1.27,7.2,0.89,1.27,7.2,0.87,5.0,0.93,5.3,NA,NA,NA,NA,175.9,32.9,33.3,189.5,0.04,0.04,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Prunus pleiantha,Rosaceae,Prunus,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,5.18,0.117,303.9,24.86,1.08,24.97,38.0,7.9,2.23,2.02,1.09,8.0,0.76,1.09,8.0,0.75,5.5,0.80,5.9,12.12,0.84,1.65,110,136.5,22.9,23.2,170.2,0.05,0.05,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Roupala monosperma,Proteaceae,Roupala,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,8.50,0.223,309.7,24.75,1.53,24.9,36.8,6.6,2.23,2.02,1.54,6.7,1.09,1.54,6.7,1.06,4.6,1.13,4.9,7.86,0.53,1.82,120,230.9,36.0,36.8,159.2,0.04,0.04,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Schefflera patula,Araliaceae,Schefflera,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,4.31,0.070,268.2,24.85,2.12,24.95,29.3,14.4,2.23,2.02,2.13,14.5,1.50,2.13,14.5,1.47,10.0,1.56,10.6,13.75,1.44,2.03,210,147.4,26.2,26.5,180.0,0.08,0.08,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,SiphoneugeNAsp,Myrtaceae,Siphoneugena,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,5.66,0.116,296.7,24.88,0.82,24.96,25.2,3.7,2.23,2.02,0.82,3.7,0.58,0.82,3.7,0.57,2.5,0.60,2.7,NA,NA,NA,NA,224.3,24.2,24.5,109.1,0.03,0.03,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Tapirira obtusa,Anacardiaceae,Tapirira,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,7.38,0.113,269.2,24.95,0.65,32.93,NA,NA,2.23,1.84,0.35,NA,0.24,0.40,NA,0.29,NA,0.31,NA,NA,NA,NA,NA,NA,32.7,32.9,NA,0.02,0.01,19.8,20.6,2104,602,19.7,1.249,1685
Peru-Andes,TrRF_up,TRU-08,-13.0704,-71.5559,1800,81.85,Guerrieri,Vismia schultesii,Hypericaceae,Vismia,TrpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTrp,South,4th~20to25,14.93,0.282,272.1,24.85,1.57,25.48,111.4,11.7,2.23,2,1.51,11.3,1.06,1.52,11.3,1.05,7.8,1.12,8.4,15.68,1.19,2.10,160,134.0,66.3,67.2,501.5,0.02,0.02,19.8,20.6,2104,602,19.7,1.249,1685
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Adenanthos cygnorum,Proteaceae,Adenanthos,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,13.81,0.326,297.5,25,1.01,25,66.0,4.4,2.23,2.02,1.01,4.4,0.91,1.01,4.4,NA,NA,0.92,4.0,7.88,NA,1.83,NA,232.6,59.3,59.3,255.1,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Andersonia heterophylla,Epacridaceae,Andersonia,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,8.43,0.335,297.1,25,3.11,25,35.8,12.0,2.23,2.02,3.11,12.0,2.78,3.11,12.0,NA,NA,2.82,10.9,9.40,NA,2.43,NA,258.6,46.3,46.3,178.9,0.07,0.07,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Astroloma xerophyllum,Epacridaceae,Astroloma,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,9.74,0.200,297.1,25,1.60,25,49.1,7.2,2.23,2.02,1.60,7.2,1.43,1.60,7.2,NA,NA,1.45,6.5,9.80,NA,2.19,NA,223.1,45.4,45.4,203.6,0.04,0.04,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Banksia attenuata,Proteaceae,Banksia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,4th~20to25,26.20,0.452,246.0,25,1.80,25,99.1,6.3,2.23,2.02,1.80,6.3,1.61,1.80,6.3,NA,NA,1.63,5.7,8.13,NA,2.31,NA,284.3,132.8,132.8,466.9,0.01,0.01,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Banksia menziesii,Proteaceae,Banksia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,4th~20to25,18.54,0.391,278.5,25,1.81,25,62.5,5.6,2.23,2.02,1.81,5.6,1.62,1.81,5.6,NA,NA,1.64,5.1,8.02,NA,2.59,NA,322.8,86.3,86.3,267.2,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Bossiaea eriocarpa,Fabaceae,Bossiaea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,18.83,0.402,271.2,25,1.85,25,92.3,9.2,2.23,2.02,1.85,9.2,1.66,1.85,9.2,NA,NA,1.68,8.3,18.88,NA,3.81,NA,201.6,89.8,89.8,445.2,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Calytrix flavescens,Myrtaceae,Calytrix,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,14.37,0.352,284.0,25,1.83,25,52.7,7.7,2.23,2.02,1.83,7.7,1.64,1.83,7.7,NA,NA,1.66,7.0,10.26,NA,2.45,NA,238.9,67.5,67.5,282.6,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Conostephium pendulum,Epacridaceae,Conostephium,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,11.01,0.495,300.8,25,1.81,25,50.1,8.4,2.23,2.02,1.81,8.4,1.61,1.81,8.4,NA,NA,1.64,7.6,9.12,NA,1.97,NA,216.2,50.8,50.8,234.9,0.04,0.04,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Eremaea pauciflora,Myrtaceae,Eremaea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,14.14,0.283,271.6,25,1.80,25,59.6,9.0,2.23,2.02,1.80,9.0,1.60,1.80,9.0,NA,NA,1.63,8.2,11.57,NA,2.30,NA,198.9,69.1,69.1,347.2,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Hibbertia huegelii,Dilleniaceae,Hibbertia,TmpH,C3H,C3H,AnC3H,C3H,C3H,South,4th~20to25,12.88,0.210,264.6,25,1.07,25,74.8,5.9,2.23,2.02,1.07,5.9,0.96,1.07,5.9,NA,NA,0.97,5.3,11.03,NA,2.02,NA,182.8,61.9,61.9,338.6,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Hibbertia subvaginata,Dilleniaceae,Hibbertia,TmpH,C3H,C3H,AnC3H,C3H,C3H,South,4th~20to25,17.79,0.424,276.7,25,1.83,25,76.9,7.4,2.23,2.02,1.83,7.4,1.64,1.83,7.4,NA,NA,1.66,6.8,13.19,NA,3.24,NA,246.0,83.6,83.6,340.1,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Jacksonia floribunda,Fabaceae,Jacksonia,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,19.94,0.579,290.5,25,2.62,25,66.6,8.4,2.23,2.02,2.62,8.4,2.34,2.62,8.4,NA,NA,2.37,7.6,16.05,NA,5.00,NA,311.8,92.1,92.1,295.6,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Leucopogon conostephioides,Epacridaceae,Leucopogon,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,6.50,0.192,292.7,25,1.74,25,44.9,11.1,2.23,2.02,1.74,11.1,1.56,1.74,11.1,NA,NA,1.58,10.1,11.07,NA,1.74,NA,157.0,33.4,33.4,213.0,0.05,0.05,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Lyginia barbata,Restionaceae,Lyginia,TmpH,C3H,C3H,AnC3H,C3H,C3H,South,4th~20to25,20.20,0.411,286.2,25,2.69,25,32.0,4.0,2.23,2.02,2.69,4.0,2.40,2.69,4.0,NA,NA,2.44,3.6,7.14,NA,4.83,NA,676.6,94.7,94.7,140.0,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Macrozamia riedlei,Zamiaceae,Macrozamia,TmpEvBl,EvBl,BlT,GyEvBlT,EvBlT,BlEvTmp,South,4th~20to25,11.73,0.199,281.4,25,0.96,25,38.0,3.3,2.23,2.02,0.96,3.3,0.86,0.96,3.3,NA,NA,0.87,3.0,17.29,NA,5.02,NA,290.4,53.3,53.3,183.6,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Melaleuca acerosa,Myrtaceae,Melaleuca,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,16.21,0.434,290.2,25,2.69,25,51.4,8.1,2.23,2.02,2.69,8.1,2.41,2.69,8.1,NA,NA,2.44,7.3,8.50,NA,2.83,NA,332.5,77.3,77.3,232.5,0.04,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Nuytsia floribunda,Loranthaceae,Nuytsia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,4th~20to25,12.83,0.370,289.8,25,2.24,25,32.5,4.9,2.23,2.02,2.24,4.9,2.00,2.24,4.9,NA,NA,2.03,4.4,7.61,NA,3.50,NA,459.3,61.7,61.7,134.3,0.04,0.04,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Patersonia occidentalis,Iridaceae,Patersonia,TmpH,C3H,C3H,AnC3H,C3H,C3H,South,4th~20to25,15.58,0.307,278.1,25,1.89,25,45.7,5.0,2.23,2.02,1.89,5.0,1.69,1.89,5.0,NA,NA,1.71,4.5,8.63,NA,3.27,NA,379.2,74.1,74.1,195.4,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Persoonia saccata,Proteaceae,Persoonia,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,19.27,0.391,282.9,25,2.45,25,45.0,5.3,2.23,2.02,2.45,5.3,2.19,2.45,5.3,NA,NA,2.22,4.8,7.11,NA,3.29,NA,462.3,90.8,90.8,196.5,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Petrophile linearis,Proteaceae,Petrophile,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,21.96,0.537,289.8,25,3.39,25,41.0,6.2,2.23,2.02,3.39,6.2,3.03,3.39,6.2,NA,NA,3.07,5.6,6.22,NA,3.39,NA,544.6,103.8,103.8,190.5,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Regelia ciliata,Myrtaceae,Regelia,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,14.64,0.273,259.9,25,1.47,25,85.8,9.5,2.23,2.02,1.47,9.5,1.31,1.47,9.5,NA,NA,1.33,8.6,11.28,NA,1.74,NA,154.3,72.7,72.7,470.8,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Scholtzia involucrata,Myrtaceae,Scholtzia,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,14.69,0.332,290.2,25,1.79,25,79.0,10.1,2.23,2.02,1.79,10.1,1.60,1.79,10.1,NA,NA,1.63,9.2,13.04,NA,2.31,NA,177.5,67.4,67.4,379.7,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Stirlingia latifolia,Poaceae,Sieglingia,TmpH,C3H,C3H,AnC3H,C3H,C3H,South,4th~20to25,16.55,0.459,299.7,25,2.08,25,61.2,7.2,2.23,2.02,2.08,7.2,1.86,2.08,7.2,NA,NA,1.89,6.5,9.27,NA,2.69,NA,290.4,74.1,74.1,255.2,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Verticordia nitens,Myrtaceae,Verticordia,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,21.37,0.547,273.0,25,2.02,25,57.5,6.1,2.23,2.02,2.02,6.1,1.80,2.02,6.1,NA,NA,1.83,5.5,11.23,NA,3.72,NA,331.5,100.9,100.9,304.3,0.02,0.02,18.4,23.6,728,39,NA,0.541,1346
Australia-WA,TeW,Veneklaas_W_Australia,-31.5,115.69,15,101.14,Wright,Xanthorrhoea preissii,Xanthorrhoeaceae,Xanthorrhoea,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,4th~20to25,18.30,0.431,287.3,25,2.32,25,24.8,3.1,2.23,2.02,2.32,3.1,2.08,2.32,3.1,NA,NA,2.11,2.8,7.98,NA,5.94,NA,743.9,85.1,85.1,114.4,0.03,0.03,18.4,23.6,728,39,NA,0.541,1346
Australia-TAS,TeRF,Warra-TERN-AW,-43.0951,146.7242,88,100.27,Weerasinghe,Anopterus glandulosus,Escalloniaceae,Anopterus,TmpEvBl,EvBl,S,AnEvBlS,EvS,SEv,South,3rd~15to20,4.63,0.059,237.1,20.94333333,0.26,18.16,37.3,2.2,2.23,2.16,0.45,3.8,0.21,0.44,3.8,0.19,1.6,0.21,1.8,8.51,0.32,1.02,37,120.8,19.0,27.3,222.4,0.02,0.01,11.4,15.1,1255,199,14.3,1.463,858
Australia-TAS,TeRF,Warra-TERN-AW,-43.0951,146.7242,88,100.27,Weerasinghe,Atherosperma moschatum,Monimiaceae,Atherosperma,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,3.92,0.030,170.6,22.64666667,0.72,19.44,38.6,6.4,2.23,2.133333333,1.13,10.0,0.51,1.10,9.8,0.49,4.3,0.52,4.6,18.50,0.65,1.95,67,106.6,27.6,33.5,323.0,0.03,0.03,11.4,15.1,1255,199,14.3,1.463,858
Australia-TAS,TeRF,Warra-TERN-AW,-43.0951,146.7242,88,100.27,Weerasinghe,Eucryphia lucida,Cunoniaceae,Eucryphia,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,2.99,0.016,192.2,23.51,0.48,19.08333333,19.1,3.0,2.23,2.143333333,0.78,4.9,0.35,0.76,4.8,0.34,2.1,0.36,2.2,9.19,0.19,1.46,33,159.9,20.9,24.4,156.7,0.03,0.04,11.4,15.1,1255,199,14.3,1.463,858
Australia-TAS,TeRF,Warra-TERN-AW,-43.0951,146.7242,88,100.27,Weerasinghe,Leptospermum lanigerum,Myrtaceae,Leptospermum,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,9.28,0.150,277.1,18.48666667,1.52,19.68333333,77.2,12.4,2.23,2.13,2.32,19.0,1.05,2.27,18.5,1.01,8.3,1.07,8.8,9.92,0.24,1.22,27,124.3,33.9,60.7,503.6,0.05,0.03,11.4,15.1,1255,199,14.3,1.463,858
Australia-TAS,TeRF,Warra-TERN-AW,-43.0951,146.7242,88,100.27,Weerasinghe,Notelaea ligustrina,Oleaceae,Notelaea,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,7.65,0.046,218.1,22.9975,2.27,20.1,56.3,17.0,2.23,2.12,3.38,25.4,1.53,3.30,24.7,1.47,11.1,1.57,11.7,11.92,0.27,1.71,35,142.4,48.4,57.6,423.5,0.05,0.06,11.4,15.1,1255,199,14.3,1.463,858
Australia-TAS,TeRF,Warra-TERN-AW,-43.0951,146.7242,88,100.27,Weerasinghe,Nothofagus cunninghamii,Nothofagaceae,Nothofagus,TmpEvBl,EvBl,BlT,AnEvBlT,EvBlT,BlEvTmp,South,3rd~15to20,3.91,0.027,201.1,20.72,0.97,19.76,27.0,6.4,2.23,2.13,1.47,9.8,0.66,1.44,9.6,0.64,4.3,0.68,4.5,13.41,0.48,2.09,80,151.7,23.1,31.8,216.8,0.05,0.05,11.4,15.1,1255,199,14.3,1.463,858
