,Vcmax_m_25,Rdarka_25C_FixedQ10,Predicted Link,Species,Source Scientific,Destination Scientific
149,,0.76,0,Bromus inermis,Lupinus perennis,Stephanomeria schottii
150,,1.19,0,Calamovilfa longifolia,Lupinus perennis,Stephanomeria thurberi
151,,1.08,0,Coreopsis palmata,Lupinus perennis,Stephanomeria virgata
152,,0.81,0,Corylus americana,Lupinus perennis,Stephanomeria virgata
153,,2.2,0,Dalea villosa,Lupinus perennis,Stephanomeria virgata
154,,0.74,0,Desmodium canadense,Lupinus perennis,Stephanomeria wrightii
155,,2.52,0,Koeleria cristata,Lupinus perennis,Ulva clathratioides
156,,1.45,0,Lespedeza capitata,Lupinus perennis,Ulva pertusa
157,,1.16,0,Liatris aspera,Lupinus perennis,Ulva L.
158,,1.92,0,Lupinus perennis,Lupinus perennis,Claytonia perfoliata
159,,0.76,0,Panicum virgatum,Lupinus perennis,Claytonia perfoliata
160,,1.68,0,Penstemon grandiflorus,Lupinus perennis,Claytonia perfoliata
161,,1.77,0,Petalostemum villosum,Lupinus perennis,Claytonia perfoliata
162,,3.47,0,Poa pratensis,Lupinus perennis,Dudleya caespitosa
163,,0.95,0,Potentilla arguta,Lupinus perennis,Ixeris stolonifera
164,,1.68,0,Quercus macrocarpa,Lupinus perennis,Lactuca biennis
165,,1.22,0,Rudbeckia serotina,Lupinus perennis,Lactuca canadensis
166,,0.88,0,Schizachyrium scoparium,Lupinus perennis,Lactuca L.
167,,1.35,0,Solidago nemoralis,Lupinus perennis,Lactuca floridana
168,,1.32,0,Solidago rigida,Lupinus perennis,Lactuca floridana
169,,0.99,0,Sorghastrum nutans,Lupinus perennis,Lactuca floridana
170,,2.75,0,Stipa spartea,Lupinus perennis,Lactuca graminifolia
171,,,1,Abies balsamea,Lupinus perennis,Lactuca graminifolia
172,,,1,Acer rubrum,Lupinus perennis,Lactuca graminifolia
173,,,1,Betula papyrifera,Lupinus perennis,Lactuca hirsuta
174,,,1,Picea glauca,Lupinus perennis,Lactuca hirsuta
175,,,1,Pinus banksiana,Lupinus perennis,Lactuca hirsuta
176,,,1,Pinus resinosa,Lupinus perennis,Lactuca hirsuta
177,,,1,Pinus strobus,Lupinus perennis,Lactuca indica
178,,0.66,0,Acer rubrum,Lupinus perennis,Lactuca ludoviciana
179,,0.87,0,Carya glabra,Lupinus perennis,Lactuca ×morssii
180,,0.75,0,Cornus florida,Lupinus perennis,Lactuca saligna
181,,0.93,0,Fraxinus sp,Lupinus perennis,Lactuca sativa
182,,0.92,0,Liriodendron tulipifera,Lupinus perennis,Lactuca serriola
183,,0.44,0,Magnolia fraseri,Lupinus perennis,Lactuca tatarica
184,,0.6,0,Nyssa sylvatica,Lupinus perennis,Lactuca tatarica
185,,0.48,0,Oxydendrum arboreum,Lupinus perennis,Lactuca virosa
186,,,1,Pinus strobus,Lupinus perennis,Montia bostockii
187,,0.53,0,Platanus occidentalis,Lupinus perennis,Montia chamissoi
188,,1.09,0,Quercus alba,Lupinus perennis,Montia dichotoma
189,,1.34,0,Quercus prinus,Lupinus perennis,Montia diffusa
190,,0.8,0,Quercus rubra,Lupinus perennis,Montia fontana
191,,0.86,0,Robinia pseudoacacia,Lupinus perennis,Montia howellii
192,,0.7,0,Tilia americana,Lupinus perennis,Montia linearis
193,,0.8,0,Acer rubrum,Lupinus perennis,Montia L.
194,,0.95,0,Eupatorium rugosum,Lupinus perennis,Montia parvifolia
195,,0.78,0,Galax aphylla,Lupinus perennis,Montia parvifolia
196,,1.43,0,Helianthus microcephalus,Lupinus perennis,Montia parvifolia
197,,0.94,0,Kalmia latifolia,Lupinus perennis,Mycelis muralis
198,,0.85,0,Liriodendron tulipifera,Lupinus perennis,Ottelia alismoides
199,,1.06,0,Pinus rigida,Lupinus perennis,Pinaropappus Less.
